Fecha,Localidad,R0
2020-08-03,De la virgen y turistica,0.531286436066848
2020-08-04,De la virgen y turistica,0.5318046379064646
2020-08-05,De la virgen y turistica,0.5320637388262728
2020-08-06,De la virgen y turistica,0.5321932892861769
2020-08-07,De la virgen y turistica,0.5327114911257935
2020-08-08,De la virgen y turistica,0.5327114911257935
2020-08-09,De la virgen y turistica,0.5331001425055059
2020-08-10,De la virgen y turistica,0.5333592434253142
2020-08-11,De la virgen y turistica,0.5340069957248348
2020-08-12,De la virgen y turistica,0.5342660966446431
2020-03-06,Industrial de la bahia,0.0
2020-03-07,Industrial de la bahia,0.000966183574879227
2020-03-08,Industrial de la bahia,0.0012077294685990338
2020-03-09,Industrial de la bahia,0.001570048309178744
2020-03-10,Industrial de la bahia,0.0026570048309178746
2020-03-11,Industrial de la bahia,0.003381642512077295
2020-03-12,Industrial de la bahia,0.004227053140096618
2020-03-13,Industrial de la bahia,0.005555555555555556
2020-03-14,Industrial de la bahia,0.007367149758454106
2020-03-15,Industrial de la bahia,0.009782608695652175
2020-03-16,Industrial de la bahia,0.012560386473429951
2020-03-17,Industrial de la bahia,0.01533816425120773
2020-03-18,Industrial de la bahia,0.017512077294685992
2020-03-19,Industrial de la bahia,0.020652173913043477
2020-03-20,Industrial de la bahia,0.024516908212560386
2020-03-21,Industrial de la bahia,0.026570048309178744
2020-03-22,Industrial de la bahia,0.02826086956521739
2020-03-23,Industrial de la bahia,0.03188405797101449
2020-03-24,Industrial de la bahia,0.034903381642512075
2020-03-25,Industrial de la bahia,0.03719806763285024
2020-03-26,Industrial de la bahia,0.03876811594202899
2020-03-27,Industrial de la bahia,0.04021739130434782
2020-03-28,Industrial de la bahia,0.041666666666666664
2020-03-29,Industrial de la bahia,0.042753623188405795
2020-03-30,Industrial de la bahia,0.04420289855072464
2020-03-31,Industrial de la bahia,0.046256038647343
2020-04-01,Industrial de la bahia,0.04855072463768116
2020-04-02,Industrial de la bahia,0.05
2020-04-03,Industrial de la bahia,0.05277777777777778
2020-04-04,Industrial de la bahia,0.05398550724637681
2020-04-05,Industrial de la bahia,0.05555555555555555
2020-04-06,Industrial de la bahia,0.0571256038647343
2020-04-07,Industrial de la bahia,0.059782608695652176
2020-04-08,Industrial de la bahia,0.06195652173913044
2020-04-09,Industrial de la bahia,0.06388888888888888
2020-04-10,Industrial de la bahia,0.06570048309178744
2020-04-11,Industrial de la bahia,0.06859903381642513
2020-04-12,Industrial de la bahia,0.07004830917874397
2020-04-13,Industrial de la bahia,0.07258454106280193
2020-04-14,Industrial de la bahia,0.07427536231884058
2020-04-15,Industrial de la bahia,0.07705314009661836
2020-04-16,Industrial de la bahia,0.08007246376811594
2020-04-17,Industrial de la bahia,0.08176328502415459
2020-04-18,Industrial de la bahia,0.08405797101449275
2020-04-19,Industrial de la bahia,0.08586956521739131
2020-04-20,Industrial de la bahia,0.08864734299516908
2020-04-21,Industrial de la bahia,0.092512077294686
2020-04-22,Industrial de la bahia,0.09480676328502416
2020-04-23,Industrial de la bahia,0.09734299516908212
2020-04-24,Industrial de la bahia,0.1001207729468599
2020-04-25,Industrial de la bahia,0.10229468599033817
2020-04-26,Industrial de la bahia,0.10543478260869565
2020-04-27,Industrial de la bahia,0.10821256038647344
2020-04-28,Industrial de la bahia,0.11183574879227053
2020-04-29,Industrial de la bahia,0.11606280193236715
2020-04-30,Industrial de la bahia,0.1178743961352657
2020-05-01,Industrial de la bahia,0.12101449275362319
2020-05-02,Industrial de la bahia,0.12427536231884058
2020-05-03,Industrial de la bahia,0.12729468599033816
2020-05-04,Industrial de la bahia,0.13067632850241545
2020-05-05,Industrial de la bahia,0.13683574879227053
2020-05-06,Industrial de la bahia,0.14106280193236714
2020-05-07,Industrial de la bahia,0.14384057971014494
2020-05-08,Industrial de la bahia,0.1501207729468599
2020-05-09,Industrial de la bahia,0.15314009661835748
2020-05-10,Industrial de la bahia,0.15628019323671496
2020-05-11,Industrial de la bahia,0.1609903381642512
2020-05-12,Industrial de la bahia,0.16545893719806765
2020-05-13,Industrial de la bahia,0.17028985507246377
2020-05-14,Industrial de la bahia,0.17620772946859903
2020-05-15,Industrial de la bahia,0.18164251207729468
2020-05-16,Industrial de la bahia,0.18514492753623188
2020-05-17,Industrial de la bahia,0.1890096618357488
2020-05-18,Industrial de la bahia,0.1929951690821256
2020-05-19,Industrial de la bahia,0.19855072463768117
2020-05-20,Industrial de la bahia,0.20507246376811594
2020-05-21,Industrial de la bahia,0.2113526570048309
2020-05-22,Industrial de la bahia,0.217512077294686
2020-05-23,Industrial de la bahia,0.22089371980676328
2020-05-24,Industrial de la bahia,0.2222222222222222
2020-05-25,Industrial de la bahia,0.22632850241545893
2020-05-26,Industrial de la bahia,0.23176328502415458
2020-05-27,Industrial de la bahia,0.23852657004830918
2020-05-28,Industrial de la bahia,0.24432367149758455
2020-05-29,Industrial de la bahia,0.24903381642512076
2020-05-30,Industrial de la bahia,0.25277777777777777
2020-05-31,Industrial de la bahia,0.2568840579710145
2020-06-01,Industrial de la bahia,0.26243961352657
2020-06-02,Industrial de la bahia,0.2679951690821256
2020-06-03,Industrial de la bahia,0.27342995169082124
2020-06-04,Industrial de la bahia,0.27753623188405796
2020-06-05,Industrial de la bahia,0.2821256038647343
2020-06-06,Industrial de la bahia,0.2857487922705314
2020-06-07,Industrial de la bahia,0.29045893719806765
2020-06-08,Industrial de la bahia,0.29480676328502414
2020-06-09,Industrial de la bahia,0.30169082125603863
2020-06-10,Industrial de la bahia,0.3070048309178744
2020-06-11,Industrial de la bahia,0.31171497584541064
2020-06-12,Industrial de la bahia,0.3169082125603865
2020-06-13,Industrial de la bahia,0.3210144927536232
2020-06-14,Industrial de la bahia,0.3245169082125604
2020-06-15,Industrial de la bahia,0.329951690821256
2020-06-16,Industrial de la bahia,0.33611111111111114
2020-06-17,Industrial de la bahia,0.3423913043478261
2020-06-18,Industrial de la bahia,0.3457729468599034
2020-06-19,Industrial de la bahia,0.3492753623188406
2020-06-20,Industrial de la bahia,0.3541062801932367
2020-06-21,Industrial de la bahia,0.35640096618357486
2020-06-22,Industrial de la bahia,0.35978260869565215
2020-06-23,Industrial de la bahia,0.36280193236714975
2020-06-24,Industrial de la bahia,0.36642512077294687
2020-06-25,Industrial de la bahia,0.3717391304347826
2020-06-26,Industrial de la bahia,0.3764492753623188
2020-06-27,Industrial de la bahia,0.379951690821256
2020-06-28,Industrial de la bahia,0.3828502415458937
2020-06-29,Industrial de la bahia,0.3855072463768116
2020-06-30,Industrial de la bahia,0.3888888888888889
2020-07-01,Industrial de la bahia,0.39202898550724635
2020-07-02,Industrial de la bahia,0.3948067632850242
2020-07-03,Industrial de la bahia,0.39806763285024155
2020-07-04,Industrial de la bahia,0.4007246376811594
2020-07-05,Industrial de la bahia,0.4028985507246377
2020-07-06,Industrial de la bahia,0.40519323671497587
2020-07-07,Industrial de la bahia,0.4076086956521739
2020-07-08,Industrial de la bahia,0.41002415458937197
2020-07-09,Industrial de la bahia,0.4126811594202899
2020-07-10,Industrial de la bahia,0.4150966183574879
2020-07-11,Industrial de la bahia,0.41630434782608694
2020-07-12,Industrial de la bahia,0.41896135265700485
2020-07-13,Industrial de la bahia,0.4219806763285024
2020-07-14,Industrial de la bahia,0.4225845410628019
2020-07-15,Industrial de la bahia,0.42318840579710143
2020-07-16,Industrial de la bahia,0.42439613526570047
2020-07-17,Industrial de la bahia,0.42669082125603863
2020-07-18,Industrial de la bahia,0.4289855072463768
2020-07-19,Industrial de la bahia,0.4311594202898551
2020-07-20,Industrial de la bahia,0.4323671497584541
2020-07-21,Industrial de la bahia,0.43285024154589374
2020-07-22,Industrial de la bahia,0.4335748792270531
2020-07-23,Industrial de la bahia,0.4349033816425121
2020-07-24,Industrial de la bahia,0.4361111111111111
2020-07-25,Industrial de la bahia,0.4364734299516908
2020-07-26,Industrial de la bahia,0.43828502415458936
2020-07-27,Industrial de la bahia,0.4392512077294686
2020-07-28,Industrial de la bahia,0.44106280193236713
2020-07-29,Industrial de la bahia,0.44154589371980674
2020-07-30,Industrial de la bahia,0.4423913043478261
2020-07-31,Industrial de la bahia,0.4434782608695652
2020-08-01,Industrial de la bahia,0.4444444444444444
2020-08-02,Industrial de la bahia,0.44565217391304346
2020-08-03,Industrial de la bahia,0.4464975845410628
2020-08-04,Industrial de la bahia,0.4473429951690821
2020-08-05,Industrial de la bahia,0.4479468599033816
2020-08-06,Industrial de la bahia,0.44867149758454106
2020-08-07,Industrial de la bahia,0.45
2020-08-08,Industrial de la bahia,0.45060386473429953
2020-08-09,Industrial de la bahia,0.45181159420289857
2020-08-10,Industrial de la bahia,0.4530193236714976
2020-08-11,Industrial de la bahia,0.453743961352657
2020-08-12,Industrial de la bahia,0.45410628019323673
2020-03-06,Historica y del caribe norte,0.0
2020-03-07,Historica y del caribe norte,0.0003223726627981947
2020-03-08,Historica y del caribe norte,0.00048355899419729207
2020-03-09,Historica y del caribe norte,0.00048355899419729207
2020-03-10,Historica y del caribe norte,0.0008059316569954867
2020-03-11,Historica y del caribe norte,0.0011283043197936814
2020-03-12,Historica y del caribe norte,0.0014506769825918763
2020-03-13,Historica y del caribe norte,0.0024177949709864605
2020-03-14,Historica y del caribe norte,0.0030625402965828497
2020-03-15,Historica y del caribe norte,0.004190844616376531
2020-03-16,Historica y del caribe norte,0.004835589941972921
2020-03-17,Historica y del caribe norte,0.005319148936170213
2020-03-18,Historica y del caribe norte,0.0061250805931656995
2020-03-19,Historica y del caribe norte,0.008381689232753063
2020-03-20,Historica y del caribe norte,0.009509993552546744
2020-03-21,Historica y del caribe norte,0.009832366215344938
2020-03-22,Historica y del caribe norte,0.010154738878143133
2020-03-23,Historica y del caribe norte,0.011444229529335912
2020-03-24,Historica y del caribe norte,0.012411347517730497
2020-03-25,Historica y del caribe norte,0.012572533849129593
2020-03-26,Historica y del caribe norte,0.013056092843326886
2020-03-27,Historica y del caribe norte,0.01402321083172147
2020-03-28,Historica y del caribe norte,0.01466795615731786
2020-03-29,Historica y del caribe norte,0.015151515151515152
2020-03-30,Historica y del caribe norte,0.015957446808510637
2020-03-31,Historica y del caribe norte,0.01644100580270793
2020-04-01,Historica y del caribe norte,0.01756931012250161
2020-04-02,Historica y del caribe norte,0.018536428110896196
2020-04-03,Historica y del caribe norte,0.01950354609929078
2020-04-04,Historica y del caribe norte,0.02014829142488717
2020-04-05,Historica y del caribe norte,0.021115409413281754
2020-04-06,Historica y del caribe norte,0.022888459058671824
2020-04-07,Historica y del caribe norte,0.023694390715667313
2020-04-08,Historica y del caribe norte,0.024661508704061894
2020-04-09,Historica y del caribe norte,0.025789813023855575
2020-04-10,Historica y del caribe norte,0.02675693101225016
2020-04-11,Historica y del caribe norte,0.02740167633784655
2020-04-12,Historica y del caribe norte,0.028368794326241134
2020-04-13,Historica y del caribe norte,0.030625402965828497
2020-04-14,Historica y del caribe norte,0.03159252095422308
2020-04-15,Historica y del caribe norte,0.033365570599613155
2020-04-16,Historica y del caribe norte,0.03433268858800774
2020-04-17,Historica y del caribe norte,0.0365892972275951
2020-04-18,Historica y del caribe norte,0.037717601547388784
2020-04-19,Historica y del caribe norte,0.03900709219858156
2020-04-20,Historica y del caribe norte,0.04029658284977434
2020-04-21,Historica y del caribe norte,0.042392005157962605
2020-04-22,Historica y del caribe norte,0.04335912314635719
2020-04-23,Historica y del caribe norte,0.04513217279174726
2020-04-24,Historica y del caribe norte,0.04722759509993552
2020-04-25,Historica y del caribe norte,0.04916183107672469
2020-04-26,Historica y del caribe norte,0.05157962604771115
2020-04-27,Historica y del caribe norte,0.05593165699548678
2020-04-28,Historica y del caribe norte,0.05851063829787234
2020-04-29,Historica y del caribe norte,0.0609284332688588
2020-04-30,Historica y del caribe norte,0.06254029658284978
2020-05-01,Historica y del caribe norte,0.06463571889103804
2020-05-02,Historica y del caribe norte,0.06640876853642812
2020-05-03,Historica y del caribe norte,0.06802063185041908
2020-05-04,Historica y del caribe norte,0.0726950354609929
2020-05-05,Historica y del caribe norte,0.07479045776918117
2020-05-06,Historica y del caribe norte,0.07785299806576403
2020-05-07,Historica y del caribe norte,0.08107672469374597
2020-05-08,Historica y del caribe norte,0.0854287556415216
2020-05-09,Historica y del caribe norte,0.08833010960670536
2020-05-10,Historica y del caribe norte,0.09042553191489362
2020-05-11,Historica y del caribe norte,0.09364925854287556
2020-05-12,Historica y del caribe norte,0.0973565441650548
2020-05-13,Historica y del caribe norte,0.10106382978723404
2020-05-14,Historica y del caribe norte,0.1041263700838169
2020-05-15,Historica y del caribe norte,0.10751128304319793
2020-05-16,Historica y del caribe norte,0.10896196002578981
2020-05-17,Historica y del caribe norte,0.11283043197936815
2020-05-18,Historica y del caribe norte,0.11686009026434559
2020-05-19,Historica y del caribe norte,0.12040618955512572
2020-05-20,Historica y del caribe norte,0.12411347517730496
2020-05-21,Historica y del caribe norte,0.12669245647969052
2020-05-22,Historica y del caribe norte,0.13120567375886524
2020-05-23,Historica y del caribe norte,0.13571889103803997
2020-05-24,Historica y del caribe norte,0.13668600902643455
2020-05-25,Historica y del caribe norte,0.1399097356544165
2020-05-26,Historica y del caribe norte,0.14458413926499034
2020-05-27,Historica y del caribe norte,0.14974210186976145
