Fecha,variable,value,Localidad
2020-05-31,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-01,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-02,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-03,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-04,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-05,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-06,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-07,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-08,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-09,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-10,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-11,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-12,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-13,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-14,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-15,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-16,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-17,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-18,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-19,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-20,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-21,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-22,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-23,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-24,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-25,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-26,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-27,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-28,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-29,Fallecidos,0.00041017227235438887,San Cristóbal
2020-06-30,Fallecidos,0.00041017227235438887,San Cristóbal
2020-07-01,Fallecidos,0.00041017227235438887,San Cristóbal
2020-07-02,Fallecidos,0.00041017227235438887,San Cristóbal
2020-07-03,Fallecidos,0.00041017227235438887,San Cristóbal
2020-07-04,Fallecidos,0.00041017227235438887,San Cristóbal
2020-07-05,Fallecidos,0.00041017227235438887,San Cristóbal
2020-07-06,Fallecidos,0.00041017227235438887,San Cristóbal
2020-07-07,Fallecidos,0.00041017227235438887,San Cristóbal
2020-07-08,Fallecidos,0.00041017227235438887,San Cristóbal
2020-07-09,Fallecidos,0.00041017227235438887,San Cristóbal
2020-07-10,Fallecidos,0.00041017227235438887,San Cristóbal
2020-07-11,Fallecidos,0.00041017227235438887,San Cristóbal
2020-07-12,Fallecidos,0.00041017227235438887,San Cristóbal
2020-07-13,Fallecidos,0.00041017227235438887,San Cristóbal
2020-07-14,Fallecidos,0.00041017227235438887,San Cristóbal
2020-07-15,Fallecidos,0.00041017227235438887,San Cristóbal
2020-07-16,Fallecidos,0.00041017227235438887,San Cristóbal
2020-07-17,Fallecidos,0.00041017227235438887,San Cristóbal
2020-07-18,Fallecidos,0.00041017227235438887,San Cristóbal
2020-07-19,Fallecidos,0.00041017227235438887,San Cristóbal
