Fecha,variable,value
2020-04-24,Fallecidos,87.0
2020-04-25,Fallecidos,93.0
2020-04-26,Fallecidos,99.0
2020-04-27,Fallecidos,104.0
2020-04-28,Fallecidos,110.0
2020-04-29,Fallecidos,115.0
2020-04-30,Fallecidos,120.0
2020-05-01,Fallecidos,125.0
2020-05-02,Fallecidos,130.0
2020-05-03,Fallecidos,135.0
2020-05-04,Fallecidos,140.0
2020-05-05,Fallecidos,144.0
2020-05-06,Fallecidos,149.0
2020-05-07,Fallecidos,153.0
2020-05-08,Fallecidos,157.0
2020-05-09,Fallecidos,161.0
2020-05-10,Fallecidos,165.0
2020-05-11,Fallecidos,169.0
2020-05-12,Fallecidos,173.0
2020-05-13,Fallecidos,176.0
2020-05-14,Fallecidos,180.0
2020-05-15,Fallecidos,184.0
2020-05-16,Fallecidos,187.0
2020-05-17,Fallecidos,191.0
2020-05-18,Fallecidos,195.0
2020-05-19,Fallecidos,199.0
2020-05-20,Fallecidos,203.0
2020-05-21,Fallecidos,208.0
2020-05-22,Fallecidos,212.0
2020-05-23,Fallecidos,217.0
2020-05-24,Fallecidos,222.0
2020-05-25,Fallecidos,227.0
2020-05-26,Fallecidos,233.0
2020-05-27,Fallecidos,239.0
2020-05-28,Fallecidos,245.0
2020-05-29,Fallecidos,251.0
2020-05-30,Fallecidos,258.0
2020-05-31,Fallecidos,265.0
2020-06-01,Fallecidos,272.0
2020-06-02,Fallecidos,280.0
2020-06-03,Fallecidos,288.0
2020-06-04,Fallecidos,296.0
2020-06-05,Fallecidos,304.0
2020-06-06,Fallecidos,313.0
2020-06-07,Fallecidos,322.0
2020-06-08,Fallecidos,331.0
2020-06-09,Fallecidos,341.0
2020-06-10,Fallecidos,350.0
2020-06-11,Fallecidos,360.0
2020-06-12,Fallecidos,370.0
2020-06-13,Fallecidos,381.0
2020-06-14,Fallecidos,391.0
2020-06-15,Fallecidos,402.0
2020-06-16,Fallecidos,414.0
2020-06-17,Fallecidos,425.0
2020-06-18,Fallecidos,437.0
2020-06-19,Fallecidos,448.0
2020-06-20,Fallecidos,461.0
2020-06-21,Fallecidos,473.0
2020-06-22,Fallecidos,485.0
2020-06-23,Fallecidos,498.0
2020-06-24,Fallecidos,511.0
2020-06-25,Fallecidos,524.0
2020-06-26,Fallecidos,538.0
2020-06-27,Fallecidos,551.0
