exp,Fecha,R0,Rt,Cuarentena
28,2020-05-06,0.20306797214852326,0.3912923289564617,0.713956714387685
28,2020-05-07,0.21133722104752797,0.3832205683355887,0.7190744905792514
28,2020-05-08,0.2203606685431846,0.3835008484532045,0.6999905725175418
28,2020-05-09,0.22838749646469408,0.37961538461538463,0.7201653849779801
28,2020-05-10,0.2349328628570659,0.3700406917599186,0.760986384021764
28,2020-05-11,0.2425960593123325,0.38539628180039137,0.6965158718401099
28,2020-05-12,0.2533568571467051,0.3821890193288272,0.6867651614119675
28,2020-05-13,0.2632422458956782,0.3762410933302184,0.6921522942451953
28,2020-05-14,0.2721983542309194,0.3755017777268035,0.6923004403981091
28,2020-05-15,0.2818817254986465,0.3752248201438849,0.6866035474269707
28,2020-05-16,0.2900701674051528,0.3704115684093437,0.7090140200131985
28,2020-05-17,0.29672327645418917,0.3727921009325288,0.7503602645082221
28,2020-05-18,0.3024605729215768,0.3584947426674045,0.7484882358486754
28,2020-05-19,0.3097736057426836,0.35493050235306994,0.6802197950195957
28,2020-05-20,0.3190798777120847,0.3428979771328056,0.6877483131540316
28,2020-05-21,0.3280090503831598,0.3372781065088757,0.6861591089682294
28,2020-05-22,0.33583386082342326,0.32738754708619544,0.6859436236549002
28,2020-05-23,0.3435105251107729,0.3232503627637013,0.6961253047097009
28,2020-05-24,0.34915354675357907,0.3189772727272727,0.743747558955435
28,2020-05-25,0.3550793928701297,0.32676184001812825,0.6684893132752421
28,2020-05-26,0.3632274312803868,0.3234883720930233,0.6802197950195957
28,2020-05-27,0.3703653822844137,0.31186521687178875,0.681445367739155
28,2020-05-28,0.3767760703559548,0.3056848811565793,0.6815127068995703
28,2020-05-29,0.38282312696125304,0.29044071221113776,0.668475845443159
28,2020-05-30,0.3889644583911328,0.28443579766536964,0.6868190327402998
28,2020-05-31,0.3933415038181304,0.2757652720224569,0.7325827261585702
28,2020-06-01,0.3983784730171984,0.29138367292582235,0.6612166839503845
28,2020-06-02,0.40411576948458605,0.2996345919610232,0.6556140658038275
28,2020-06-03,0.40979919462364145,0.2926076588581849,0.6523548504397247
28,2020-06-04,0.4148092281585433,0.282455107447748,0.690145587264818
28,2020-06-05,0.4199943435105251,0.2852830188679245,0.6367591008875302
28,2020-06-06,0.42503131270959316,0.2833229036295369,0.6398971057628854
28,2020-06-07,0.4299201357557474,0.2921189240207645,0.6279511387052026
28,2020-06-08,0.4347281518094032,0.2912605847579486,0.6252037009602565
28,2020-06-09,0.43907826157223473,0.2776470588235294,0.6606914384991448
28,2020-06-10,0.44330716084631855,0.27356521739130435,0.6477084483710657
28,2020-06-11,0.44705121816541193,0.269852807559513,0.6884351725902681
28,2020-06-12,0.4506875328278407,0.2770635364263089,0.616799773740421
28,2020-06-13,0.45482215727734304,0.2829934590227011,0.6172576800312454
28,2020-06-14,0.45867395725310095,0.2937076476282672,0.6237222394311188
28,2020-06-15,0.46228333625136364,0.29653121902874136,0.6403684798857928
28,2020-06-16,0.4657445690967125,0.29071443277743464,0.6252575722885887
28,2020-06-17,0.4684516033454095,0.281386224934612,0.6896607453098275
28,2020-06-18,0.47036403550120537,0.2723316536875859,0.7121520248885537
28,2020-06-19,0.47294985926115474,0.27106574887253737,0.6172172765349961
28,2020-06-20,0.47661310958774966,0.28421566235667234,0.6141735464842224
28,2020-06-21,0.4794682899893604,0.2899797570850202,0.6132307982384075
28,2020-06-22,0.48276790884971243,0.2900683131897005,0.6150220199054558
28,2020-06-23,0.48551534659465867,0.28905824714207945,0.5940930088483657
28,2020-06-24,0.48799342769794346,0.2966723068245911,0.614267821308804
28,2020-06-25,0.4901348129991515,0.2967969438730532,0.654738656718428
28,2020-06-26,0.49230313396452574,0.3033504376697857,0.5872917536464155
