replicate,time,obs
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,1.0
5,20,2.0
5,21,5.0
5,22,3.0
5,23,2.0
5,24,4.0
5,25,3.0
5,26,12.0
5,27,9.0
5,28,17.0
5,29,16.0
5,30,21.0
5,31,28.0
5,32,31.0
5,33,32.0
5,34,33.0
5,35,34.0
5,36,57.0
5,37,60.0
5,38,56.0
5,39,56.0
5,40,61.0
5,41,55.0
5,42,68.0
5,43,100.0
5,44,74.0
5,45,88.0
5,46,107.0
5,47,114.0
5,48,116.0
5,49,105.0
5,50,131.0
5,51,130.0
5,52,126.0
5,53,125.0
5,54,142.0
5,55,137.0
5,56,139.0
5,57,166.0
5,58,152.0
5,59,171.0
5,60,158.0
5,61,175.0
5,62,176.0
5,63,175.0
5,64,176.0
5,65,158.0
5,66,215.0
5,67,181.0
5,68,218.0
5,69,190.0
5,70,219.0
5,71,210.0
5,72,215.0
5,73,213.0
5,74,239.0
5,75,214.0
5,76,234.0
5,77,245.0
5,78,264.0
5,79,247.0
5,80,256.0
5,81,268.0
5,82,288.0
5,83,285.0
5,84,298.0
5,85,297.0
5,86,302.0
5,87,267.0
5,88,276.0
5,89,312.0
5,90,334.0
5,91,353.0
5,92,359.0
5,93,387.0
5,94,402.0
5,95,393.0
5,96,394.0
5,97,427.0
5,98,458.0
5,99,458.0
5,100,485.0
5,101,486.0
5,102,540.0
5,103,553.0
5,104,524.0
5,105,622.0
5,106,573.0
5,107,668.0
5,108,633.0
5,109,678.0
5,110,697.0
5,111,765.0
6,0,0.0
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.0
6,12,0.0
6,13,0.0
6,14,0.0
6,15,0.0
6,16,1.0
6,17,0.0
6,18,0.0
6,19,1.0
6,20,2.0
6,21,0.0
6,22,1.0
6,23,2.0
6,24,6.0
6,25,5.0
6,26,7.0
6,27,8.0
6,28,14.0
6,29,24.0
6,30,13.0
6,31,15.0
6,32,29.0
6,33,25.0
6,34,43.0
6,35,48.0
6,36,39.0
6,37,59.0
6,38,55.0
6,39,56.0
6,40,60.0
6,41,87.0
6,42,75.0
6,43,88.0
6,44,88.0
6,45,84.0
6,46,107.0
6,47,101.0
6,48,128.0
6,49,99.0
6,50,127.0
6,51,124.0
6,52,142.0
6,53,136.0
6,54,124.0
6,55,127.0
6,56,120.0
6,57,183.0
6,58,149.0
6,59,171.0
6,60,149.0
6,61,183.0
6,62,164.0
6,63,165.0
6,64,156.0
6,65,185.0
6,66,199.0
6,67,199.0
6,68,194.0
6,69,216.0
6,70,210.0
6,71,221.0
6,72,221.0
6,73,216.0
6,74,237.0
6,75,232.0
6,76,232.0
6,77,212.0
6,78,244.0
6,79,239.0
6,80,238.0
6,81,256.0
6,82,284.0
6,83,276.0
6,84,273.0
6,85,280.0
6,86,323.0
6,87,301.0
6,88,310.0
6,89,354.0
6,90,326.0
6,91,368.0
6,92,366.0
6,93,389.0
6,94,391.0
6,95,429.0
6,96,428.0
6,97,432.0
6,98,469.0
6,99,438.0
6,100,435.0
6,101,501.0
6,102,505.0
6,103,567.0
6,104,538.0
6,105,575.0
6,106,586.0
6,107,602.0
6,108,646.0
6,109,675.0
6,110,720.0
6,111,716.0
7,0,0.0
7,1,0.0
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.0
7,6,0.0
7,7,0.0
7,8,0.0
7,9,0.0
7,10,0.0
7,11,0.0
7,12,0.0
7,13,1.0
7,14,0.0
7,15,0.0
7,16,1.0
7,17,0.0
7,18,1.0
7,19,1.0
7,20,1.0
7,21,1.0
7,22,3.0
7,23,6.0
7,24,7.0
7,25,4.0
7,26,9.0
7,27,10.0
