time,obs_mean,obs_ci,date,obs_lower,obs_upper
108,26.2,3.381213036766539,2020-06-29,22.81878696323346,29.58121303676654
109,33.6,4.419354523004462,2020-06-30,29.18064547699554,38.019354523004466
110,34.2,3.2538361360093098,2020-07-01,30.946163863990694,37.453836136009315
111,31.6,1.7574545228824554,2020-07-02,29.842545477117547,33.357454522882456
112,38.7,2.54120632771131,2020-07-03,36.158793672288695,41.24120632771131
113,41.3,3.4514926626026603,2020-07-04,37.848507337397336,44.75149266260266
114,48.4,2.8430136123486993,2020-07-05,45.5569863876513,51.2430136123487
115,50.9,3.1415076635271797,2020-07-06,47.75849233647282,54.04150766352718
116,56.4,3.637371358550017,2020-07-07,52.76262864144998,60.03737135855002
117,61.1,4.08743420742157,2020-07-08,57.01256579257843,65.18743420742157
118,67.8,4.791388274811383,2020-07-09,63.008611725188615,72.59138827481138
119,76.7,3.7090119439009626,2020-07-10,72.99098805609904,80.40901194390096
120,81.0,3.3262302987015193,2020-07-11,77.67376970129848,84.32623029870152
121,88.9,3.9146062892709907,2020-07-12,84.98539371072901,92.814606289271
122,100.7,6.022337220714231,2020-07-13,94.67766277928577,106.72233722071424
123,109.6,5.789137966917008,2020-07-14,103.81086203308298,115.389137966917
124,122.3,3.9400387815350246,2020-07-15,118.35996121846497,126.24003878153502
125,134.8,7.232373441685654,2020-07-16,127.56762655831436,142.03237344168568
126,149.4,8.311879113654143,2020-07-17,141.08812088634585,157.71187911365416
127,156.5,6.124803996863899,2020-07-18,150.3751960031361,162.6248039968639
128,168.6,4.1411233258622,2020-07-19,164.4588766741378,172.7411233258622
129,170.3,6.453432079134327,2020-07-20,163.84656792086568,176.75343207913434
130,191.8,5.652145221064299,2020-07-21,186.1478547789357,197.4521452210643
131,215.4,4.850356522978491,2020-07-22,210.5496434770215,220.2503565229785
132,229.6,8.190830385253989,2020-07-23,221.40916961474602,237.79083038525397
133,236.3,10.319544253502672,2020-07-24,225.98045574649734,246.61954425350268
134,256.6,9.114316123549807,2020-07-25,247.48568387645022,265.71431612354985
135,290.1,5.967226357362354,2020-07-26,284.1327736426377,296.06722635736236
136,304.6,9.804702871581576,2020-07-27,294.79529712841844,314.4047028715816
137,320.9,11.355997111658665,2020-07-28,309.5440028883413,332.25599711165864
138,333.1,13.506803559687983,2020-07-29,319.59319644031206,346.606803559688
139,361.6,12.5108812799099,2020-07-30,349.08911872009014,374.1108812799099
140,391.6,10.040864026566638,2020-07-31,381.5591359734334,401.64086402656665
141,394.1,8.513938595033439,2020-08-01,385.5860614049666,402.61393859503346
142,448.7,12.349710992569825,2020-08-02,436.35028900743015,461.0497109925698
143,468.0,17.440696316374527,2020-08-03,450.55930368362544,485.44069631637456
144,507.2,11.637845573816488,2020-08-04,495.5621544261835,518.8378455738165
145,521.9,11.968685073975337,2020-08-05,509.93131492602464,533.8686850739753
146,554.4,7.329456623788695,2020-08-06,547.0705433762113,561.7294566237887
147,597.2,15.013651174847507,2020-08-07,582.1863488251525,612.2136511748475
148,614.7,11.87717953051144,2020-08-08,602.8228204694886,626.5771795305114
149,648.7,14.453720960361728,2020-08-09,634.2462790396384,663.1537209603617
150,679.0,14.570065751395907,2020-08-10,664.4299342486041,693.5700657513959
151,709.2,22.319572612395604,2020-08-11,686.8804273876044,731.5195726123957
152,754.0,12.629458895772215,2020-08-12,741.3705411042278,766.6294588957722
153,782.6,12.209399919733976,2020-08-13,770.390600080266,794.809399919734
