date,time,obs_mean,obs_ci,obs_lower,obs_upper,barranquilla
2020-04-15,33,1.5,0.5714332856948394,0.9285667143051606,2.071433285694839,3.0
2020-04-16,34,2.5,0.6929646455628165,1.8070353544371835,3.1929646455628165,3.0
2020-04-17,35,3.6,1.4188017479549422,2.181198252045058,5.018801747954942,3.0
2020-04-18,36,3.8,1.3235443324649159,2.4764556675350837,5.123544332464916,3.0
2020-04-19,37,3.8,0.9109256830279845,2.889074316972015,4.710925683027984,3.0
2020-04-20,38,3.5,0.8430278761701773,2.6569721238298225,4.3430278761701775,4.0
2020-04-21,39,4.5,0.746345764374663,3.753654235625337,5.246345764374663,4.0
2020-04-22,40,5.5,0.8874277435374667,4.612572256462533,6.387427743537467,5.0
2020-04-23,41,5.1,1.3133462605116746,3.786653739488325,6.413346260511674,5.0
2020-04-24,42,6.2,0.9916902742288037,5.208309725771197,7.191690274228804,5.0
2020-04-25,43,7.0,1.466729695615385,5.533270304384615,8.466729695615385,8.0
2020-04-26,44,6.5,2.0036147334255654,4.496385266574435,8.503614733425565,8.0
2020-04-27,45,8.7,1.6871945945859357,7.012805405414063,10.387194594585935,8.0
2020-04-28,46,9.3,2.0188951433890767,7.2811048566109235,11.318895143389078,8.0
2020-04-29,47,11.6,1.7131790332595132,9.886820966740487,13.313179033259512,8.0
2020-04-30,48,9.6,2.002655836632945,7.597344163367055,11.602655836632945,11.0
2020-05-01,49,11.1,0.7565701553722562,10.343429844627744,11.856570155372255,14.0
2020-05-02,50,11.7,1.5935173673355427,10.106482632664456,13.293517367335543,16.0
2020-05-03,51,15.1,2.225269062383244,12.874730937616755,17.325269062383242,18.0
2020-05-04,52,13.3,2.3033127447222617,10.996687255277738,15.603312744722263,19.0
2020-05-05,53,14.0,1.1428665713896788,12.857133428610322,15.142866571389678,22.0
2020-05-06,54,15.1,2.3429994451557175,12.757000554844282,17.442999445155717,23.0
2020-05-07,55,18.2,3.5475458559404136,14.652454144059586,21.747545855940412,24.0
2020-05-08,56,19.4,2.040660285299834,17.359339714700166,21.44066028529983,27.0
2020-05-09,57,17.5,4.019194944264336,13.480805055735665,21.519194944264335,27.0
2020-05-10,58,19.8,3.1701144458836183,16.62988555411638,22.97011444588362,29.0
2020-05-11,59,19.3,1.9213999063183071,17.378600093681694,21.221399906318307,31.0
2020-05-12,60,21.9,2.082586468793073,19.817413531206924,23.982586468793073,33.0
2020-05-13,61,21.8,1.681492670218934,20.118507329781067,23.481492670218934,33.0
2020-05-14,62,24.9,4.14344185430422,20.756558145695777,29.04344185430422,35.0
2020-05-15,63,25.0,1.7086883858679438,23.291311614132056,26.708688385867944,36.0
2020-05-16,64,26.5,3.2709105765826125,23.22908942341739,29.77091057658261,37.0
2020-05-17,65,28.6,2.3715190068814542,26.22848099311855,30.971519006881454,38.0
2020-05-18,66,31.7,3.2212049919246057,28.478795008075394,34.921204991924604,39.0
2020-05-19,67,32.2,3.868704382606662,28.33129561739334,36.06870438260667,44.0
2020-05-20,68,33.2,2.943917390145314,30.256082609854687,36.14391739014532,46.0
2020-05-21,69,36.2,3.3354570301534383,32.86454296984657,39.53545703015344,48.0
2020-05-22,70,36.5,3.4979273863246503,33.00207261367535,39.99792738632465,54.0
2020-05-23,71,37.9,2.693841569209295,35.2061584307907,40.593841569209296,58.0
2020-05-24,72,40.1,3.3198720457270636,36.780127954272935,43.41987204572707,63.0
2020-05-25,73,43.4,3.8227537718247038,39.5772462281753,47.2227537718247,66.0
2020-05-26,74,47.6,3.126184639460696,44.473815360539305,50.7261846394607,78.0
2020-05-27,75,54.1,3.5328966019401133,50.567103398059885,57.63289660194012,83.0
2020-05-28,76,57.6,3.7721726365584067,53.82782736344159,61.37217263655841,92.0
