date,time,obs_mean,obs_ci,obs_lower,obs_upper,cali
2020-04-16,34,18.0,1.753077294359835,16.246922705640166,19.753077294359834,24.0
2020-04-17,35,19.3,1.9804730747980392,17.319526925201963,21.28047307479804,25.0
2020-04-18,36,20.8,1.8758746226760463,18.924125377323954,22.675874622676048,28.0
2020-04-19,37,24.3,4.074254974838958,20.225745025161043,28.37425497483896,31.0
2020-04-20,38,26.7,3.9204899693788273,22.77951003062117,30.620489969378827,33.0
2020-04-21,39,30.1,2.4706886489398046,27.629311351060196,32.57068864893981,34.0
2020-04-22,40,32.6,2.48232278320125,30.11767721679875,35.08232278320125,36.0
2020-04-23,41,31.4,4.513961275864027,26.88603872413597,35.913961275864025,38.0
2020-04-24,42,32.7,4.22242413786204,28.47757586213796,36.922424137862045,38.0
2020-04-25,43,31.8,2.698828190159573,29.101171809840427,34.49882819015957,38.0
2020-04-26,44,38.4,4.028264936669384,34.37173506333062,42.42826493666938,39.0
2020-04-27,45,38.2,2.810396697976995,35.389603302023005,41.010396697977,41.0
2020-04-28,46,40.7,2.5562788580278175,38.143721141972186,43.25627885802782,42.0
2020-04-29,47,46.2,4.052984283216504,42.1470157167835,50.252984283216506,45.0
2020-04-30,48,45.2,2.8376034959098844,42.36239650409012,48.037603495909885,46.0
2020-05-01,49,46.9,3.7645268494194593,43.13547315058054,50.66452684941946,46.0
2020-05-02,50,51.3,3.3152402024589405,47.98475979754106,54.615240202458935,47.0
2020-05-03,51,54.5,5.120441387224346,49.379558612775654,59.620441387224346,47.0
2020-05-04,52,51.6,4.505442752937828,47.09455724706217,56.10544275293783,50.0
2020-05-05,53,53.1,2.4861887297628873,50.613811270237115,55.58618872976289,50.0
2020-05-06,54,55.6,6.1993037028363105,49.40069629716369,61.79930370283631,52.0
2020-05-07,55,60.0,4.784969801367612,55.21503019863239,64.78496980136761,54.0
2020-05-08,56,66.5,6.118528581284883,60.381471418715115,72.61852858128488,55.0
2020-05-09,57,63.3,3.29198323203506,60.00801676796494,66.59198323203506,56.0
2020-05-10,58,67.4,4.304866827208479,63.09513317279153,71.70486682720849,58.0
2020-05-11,59,74.2,3.5258215496533567,70.67417845034664,77.72582154965336,62.0
2020-05-12,60,73.1,4.836476237923639,68.26352376207636,77.93647623792363,63.0
2020-05-13,61,72.9,5.2843722806024935,67.61562771939751,78.1843722806025,65.0
2020-05-14,62,76.6,5.489399821474111,71.11060017852589,82.0893998214741,69.0
2020-05-15,63,82.1,2.8998728247976664,79.20012717520233,84.99987282479766,69.0
2020-05-16,64,79.0,5.126065157603832,73.87393484239617,84.12606515760383,69.0
2020-05-17,65,82.7,2.986026389702542,79.71397361029746,85.68602638970255,71.0
2020-05-18,66,86.1,5.046381515501974,81.05361848449802,91.14638151550197,74.0
2020-05-19,67,86.2,4.220149002108811,81.97985099789119,90.42014900210881,76.0
2020-05-20,68,87.7,5.95175550573106,81.74824449426895,93.65175550573106,82.0
2020-05-21,69,88.9,6.854117477837683,82.04588252216232,95.7541174778377,83.0
2020-05-22,70,94.5,6.1373355782456605,88.36266442175435,100.63733557824565,86.0
2020-05-23,71,93.4,4.047293218930401,89.3527067810696,97.44729321893041,88.0
