date,time,obs_mean,obs_ci,obs_lower,obs_upper,bogota
2020-04-15,33,30.2,3.685633948183134,26.514366051816864,33.885633948183134,73.0
2020-04-16,34,34.6,5.059685998162336,29.540314001837665,39.65968599816234,77.0
2020-04-17,35,41.2,3.2773638186811054,37.9226361813189,44.477363818681106,78.0
2020-04-18,36,40.5,4.260464763379694,36.239535236620306,44.760464763379694,80.0
2020-04-19,37,52.2,3.633144313126028,48.56685568687398,55.83314431312603,84.0
2020-04-20,38,50.6,5.552026512904995,45.04797348709501,56.152026512904996,88.0
2020-04-21,39,53.5,5.621135116682394,47.878864883317604,59.121135116682396,94.0
2020-04-22,40,59.9,6.532712637182199,53.3672873628178,66.43271263718219,95.0
2020-04-23,41,63.4,5.097507469342247,58.30249253065775,68.49750746934225,97.0
2020-04-24,42,68.9,3.2497012785793093,65.6502987214207,72.14970127857931,101.0
2020-04-25,43,73.7,6.00316996261142,67.69683003738858,79.70316996261143,102.0
2020-04-26,44,77.6,4.921122473582628,72.67887752641737,82.52112247358262,108.0
2020-04-27,45,83.7,3.9981117543160294,79.70188824568397,87.69811175431603,111.0
2020-04-28,46,86.7,7.276062781477356,79.42393721852265,93.97606278147735,117.0
2020-04-29,47,93.0,3.56051681641865,89.43948318358134,96.56051681641866,123.0
2020-04-30,48,103.8,8.346931028827301,95.4530689711727,112.1469310288273,131.0
2020-05-01,49,106.2,4.886653824448791,101.31334617555122,111.08665382444879,134.0
2020-05-02,50,110.6,8.124903347117428,102.47509665288257,118.72490334711742,137.0
2020-05-03,51,117.4,6.768104490919152,110.63189550908085,124.16810449091916,140.0
2020-05-04,52,122.1,5.51906209423304,116.58093790576696,127.61906209423303,145.0
2020-05-05,53,130.0,3.770135276087583,126.22986472391241,133.7701352760876,147.0
2020-05-06,54,131.9,5.7307799120189555,126.16922008798105,137.63077991201897,154.0
2020-05-07,55,138.5,5.538517491170358,132.96148250882965,144.03851749117035,157.0
2020-05-08,56,142.7,5.417902324700954,137.28209767529904,148.11790232470094,161.0
2020-05-09,57,152.4,7.981797692249534,144.41820230775048,160.38179769224953,167.0
2020-05-10,58,154.4,7.282131995507909,147.1178680044921,161.68213199550792,174.0
2020-05-11,59,163.3,5.403702582489159,157.89629741751085,168.70370258248917,181.0
2020-05-12,60,165.3,6.547984239443464,158.75201576055656,171.84798423944346,181.0
2020-05-13,61,176.2,6.451943707131983,169.748056292868,182.65194370713198,184.0
2020-05-14,62,190.1,9.115369789536791,180.9846302104632,199.2153697895368,186.0
2020-05-15,63,184.5,9.355792644132297,175.1442073558677,193.8557926441323,193.0
2020-05-16,64,197.1,9.607799248527208,187.49220075147278,206.7077992485272,197.0
2020-05-17,65,198.8,6.66861017004293,192.13138982995707,205.46861017004295,200.0
2020-05-18,66,211.9,8.187312037537104,203.7126879624629,220.08731203753712,206.0
2020-05-19,67,217.7,7.158965400111946,210.54103459988804,224.85896540011194,211.0
2020-05-20,68,222.0,9.67771708617275,212.32228291382725,231.67771708617275,217.0
2020-05-21,69,227.1,6.113503610860143,220.98649638913986,233.21350361086013,227.0
2020-05-22,70,223.9,6.2440690579140785,217.65593094208592,230.1440690579141,236.0
2020-05-23,71,237.7,8.250878353242156,229.44912164675785,245.95087835324213,245.0
2020-05-24,72,250.2,5.5630863376366895,244.6369136623633,255.76308633763668,250.0
2020-05-25,73,255.9,11.659776258573746,244.24022374142626,267.5597762585738,254.0
2020-05-26,74,262.6,11.708272904233143,250.89172709576687,274.30827290423315,262.0
2020-05-27,75,260.3,9.280760399881036,251.01923960011896,269.58076039988106,268.0
2020-05-28,76,268.8,9.85004820292774,258.9499517970723,278.65004820292774,272.0
2020-05-29,77,272.3,8.646466191456485,263.6535338085435,280.9464661914565,283.0
2020-05-30,78,289.0,9.15133214346414,279.8486678565359,298.1513321434641,290.0
2020-05-31,79,276.4,12.796263454618304,263.60373654538165,289.1962634546183,301.0
2020-06-01,80,290.5,8.656235209373644,281.8437647906264,299.1562352093736,309.0
2020-06-02,81,289.8,8.113547781334624,281.6864522186654,297.9135477813346,315.0
2020-06-03,82,303.2,9.099974153809448,294.10002584619053,312.29997415380944,324.0
2020-06-04,83,310.1,10.545637884926638,299.5543621150734,320.64563788492666,335.0
2020-06-05,84,299.1,14.634389580710225,284.4656104192898,313.73438958071023,349.0
2020-06-06,85,314.6,6.055099536754122,308.5449004632459,320.65509953675416,358.0
2020-06-07,86,305.3,9.301433953966452,295.99856604603355,314.6014339539665,368.0
