date,Barranquilla,Bogotá D.C.,Cali,Cartagena,Medellín
2020-06-14,502.0,544.0,150.0,194.0,70.0
2020-06-15,595.0,712.0,190.0,240.0,83.0
2020-06-16,725.0,763.0,232.0,313.0,134.0
2020-06-17,604.0,899.0,221.0,338.0,166.0
2020-06-18,713.0,1017.0,206.0,308.0,118.0
2020-06-19,759.0,1019.0,245.0,248.0,124.0
2020-06-20,762.0,1196.0,268.0,267.0,154.0
2020-06-21,488.0,730.0,215.0,197.0,147.0
2020-06-22,526.0,797.0,348.0,258.0,171.0
2020-06-23,792.0,1034.0,345.0,261.0,179.0
2020-06-24,613.0,970.0,316.0,246.0,220.0
2020-06-25,966.0,1126.0,420.0,257.0,241.0
2020-06-26,630.0,1370.0,419.0,318.0,275.0
2020-06-27,564.0,1447.0,371.0,216.0,235.0
2020-06-28,527.0,1141.0,370.0,226.0,261.0
2020-06-29,440.0,1041.0,419.0,178.0,346.0
2020-06-30,619.0,1263.0,481.0,356.0,490.0
2020-07-01,928.0,1754.0,590.0,397.0,592.0
2020-07-02,577.0,1358.0,497.0,320.0,462.0
2020-07-03,442.0,1573.0,465.0,251.0,607.0
2020-07-04,458.0,1549.0,438.0,196.0,633.0
2020-07-05,478.0,1489.0,435.0,241.0,543.0
2020-07-06,370.0,1681.0,661.0,247.0,885.0
2020-07-07,392.0,1663.0,549.0,213.0,759.0
2020-07-08,419.0,1802.0,493.0,235.0,852.0
2020-07-09,479.0,1659.0,567.0,216.0,1058.0
2020-07-10,553.0,2475.0,636.0,306.0,1028.0
2020-07-11,363.0,1668.0,517.0,196.0,995.0
2020-07-12,202.0,1853.0,484.0,154.0,871.0
2020-07-13,328.0,2159.0,614.0,261.0,1065.0
2020-07-14,358.0,2103.0,652.0,146.0,1156.0
2020-07-15,682.0,2015.0,562.0,211.0,741.0
2020-07-16,366.0,2271.0,575.0,246.0,1205.0
2020-07-17,282.0,2322.0,565.0,147.0,872.0
2020-07-18,212.0,2407.0,514.0,103.0,750.0
2020-07-19,135.0,2359.0,430.0,106.0,797.0
2020-07-20,264.0,2551.0,544.0,119.0,713.0
2020-07-21,183.0,2632.0,569.0,88.0,970.0
2020-07-22,218.0,2941.0,442.0,124.0,1013.0
2020-07-23,244.0,2607.0,476.0,171.0,1324.0
2020-07-24,434.0,2930.0,503.0,302.0,1494.0
2020-07-25,300.0,2509.0,519.0,146.0,1036.0
2020-07-26,162.0,1900.0,379.0,85.0,754.0
2020-07-27,178.0,3058.0,603.0,146.0,828.0
2020-07-28,209.0,2139.0,409.0,142.0,775.0
2020-07-29,204.0,2138.0,473.0,153.0,616.0
2020-07-30,200.0,1927.0,317.0,96.0,564.0
2020-07-31,113.0,1881.0,415.0,78.0,720.0
2020-08-01,89.0,2133.0,400.0,73.0,597.0
2020-08-02,84.0,1652.0,244.0,30.0,350.0
2020-08-03,55.0,1928.0,287.0,44.0,477.0
2020-08-04,35.0,1895.0,237.0,37.0,376.0
2020-08-05,65.0,2270.0,234.0,33.0,420.0
2020-08-06,73.0,2158.0,273.0,46.0,457.0
2020-08-07,26.0,1505.0,185.0,26.0,381.0
2020-08-08,46.0,1686.0,194.0,27.0,424.0
2020-08-09,15.0,1220.0,134.0,12.0,292.0
2020-08-10,38.0,1364.0,137.0,27.0,296.0
2020-08-11,22.0,993.0,73.0,8.0,206.0
2020-08-12,25.0,650.0,81.0,10.0,140.0
2020-08-13,23.0,157.0,39.0,4.0,94.0
2020-08-14,5.0,70.0,7.0,3.0,45.0
2020-08-15,1.0,8.0,8.0,0.0,8.0
