t,IH,X
541,90.30360368,0.05
542,87.62371266,0.05
543,85.27610392,0.05
544,83.07108389,0.05
545,81.23840215,0.05
546,79.72802452,0.05
547,79.34869819,0.05
548,78.30073529,0.05
549,77.63601345,0.05
550,77.46315814,0.05
551,77.39965014,0.05
552,77.46191125,0.05
553,77.48160566,0.05
554,77.98815321,0.05
555,77.99214449,0.05
556,77.99539116,0.05
557,78.59974709,0.05
558,79.0965594,0.05
559,79.66649801,0.05
560,80.82051985,0.05
561,81.61902491,0.05
562,84.32578696,0.05
563,87.82306689,0.05
564,91.97659643,0.05
565,96.46455432,0.05
566,101.9660386,0.05
567,108.3708949,0.05
568,116.0306369,0.05
569,124.5668031,0.05
570,134.3170309,0.05
571,143.896928,0.05
572,153.8996167,0.05
573,164.2048035,0.05
574,174.3218862,0.3
575,184.1129182,0.3
576,193.469268,0.3
577,202.0342328,0.3
578,210.1895625,0.3
579,217.4407995,0.3
580,223.7757265,0.3
581,229.2469696,0.3
582,233.7755547,0.3
583,237.5352645,0.3
584,240.338557,0.3
585,241.2595884,0.3
586,243.1794644,0.3
587,243.4826951,0.3
588,244.7158686,0.3
589,245.2352186,0.3
590,245.4656558,0.3
591,245.6087556,0.3
592,245.1859381,0.3
593,244.1978204,0.3
594,242.6433634,0.05
595,240.6176814,0.05
596,238.2098585,0.05
597,235.0479725,0.05
598,231.8137701,0.05
599,228.1593812,0.05
600,224.3393925,0.05
601,220.2170513,0.05
602,215.9097858,0.05
603,211.5353079,0.05
604,206.6291157,0.05
605,201.6173048,0.05
606,196.8369687,0.05
607,191.9260884,0.05
608,187.0348411,0.05
609,182.3264911,0.05
610,177.6289052,0.05
611,172.6292064,0.05
612,167.0278641,0.05
613,162.107415,0.05
614,157.4838564,0.05
615,153.1724521,0.05
616,149.0085487,0.05
617,144.6923371,0.05
618,142.2391362,0.05
619,140.3304971,0.05
620,136.2563436,0.05
621,131.5128475,0.05
622,130.8526354,0.05
623,130.3590518,0.05
624,127.9387942,0.05
625,125.7469191,0.05
626,125.5604562,0.05
627,124.7948956,0.05
628,120.9123697,0.05
629,117.2495506,0.05
630,113.6792719,0.05
631,110.1396158,0.05
632,106.5891742,0.05
633,102.6017355,0.05
634,100.6919049,0.05
635,100.6594262,0.05
636,100.2644609,0.05
637,98.19786515,0.05
638,96.66189829,0.05
639,96.52258693,0.05
640,94.69289011,0.05
641,91.68817296,0.05
642,88.76948807,0.05
643,86.05374889,0.05
644,83.57426162,0.05
645,81.32181409,0.05
646,79.3807265,0.05
647,79.23816756,0.05
648,79.2225192,0.05
649,79.03775582,0.05
650,78.24975888,0.05
651,77.03564625,0.05
652,76.34290082,0.05
653,76.18733201,0.05
654,76.62473402,0.05
655,77.65578391,0.3
656,79.41794319,0.3
657,81.89082341,0.3
658,84.75591467,0.3
659,88.34151297,0.3
660,92.57851086,0.3
661,97.60041396,0.3
662,103.6560594,0.3
663,110.8977477,0.3
664,119.7505588,0.3
665,128.192747,0.3
666,136.6792426,0.3
667,145.5909556,0.3
668,153.9952226,0.3
669,161.8938257,0.3
670,165.1246361,0.3
671,169.5396348,0.3
672,173.6486422,0.3
673,174.6775857,0.3
674,182.746139,0.3
675,190.1825265,0.3
676,196.7733509,0.05
677,203.0073605,0.05
678,208.5248073,0.05
679,213.3446174,0.05
680,217.4201422,0.05
681,220.8795355,0.05
682,223.6763649,0.05
683,225.7013554,0.05
684,227.0164112,0.05
685,227.6596923,0.05
686,227.6516203,0.05
687,227.0409312,0.05
688,225.8834834,0.05
689,224.7010817,0.05
690,223.9689313,0.05
691,222.7616504,0.05
692,221.9588859,0.05
693,220.4209037,0.05
694,219.3192128,0.05
695,216.4855768,0.05
696,213.2792091,0.05
697,209.8809729,0.05
698,206.2044834,0.05
699,202.3282828,0.05
700,198.1875039,0.05
701,193.6510957,0.05
702,189.0211871,0.05
703,184.5841376,0.05
704,180.0753953,0.05
705,175.5221829,0.05
706,170.9355851,0.05
707,166.3411947,0.05
708,161.7125001,0.05
709,158.9567999,0.05
710,158.8647253,0.05
711,154.9818367,0.05
712,154.9571862,0.05
713,153.6585738,0.05
714,149.7963662,0.05
715,148.5098643,0.05
716,144.5207456,0.05
717,140.1227712,0.05
718,135.7809149,0.05
719,131.5094838,0.05
720,127.2588443,0.05
721,122.7946968,0.05
722,119.5684223,0.05
723,119.1532983,0.05
724,118.9812724,0.05
725,115.8006404,0.05
726,114.6462727,0.05
727,114.4696953,0.05
728,112.4233332,0.05
729,108.6919488,0.05
730,104.9800643,0.05
